frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
8.000000000000000000e+00,1.029483276022660050e+02,1.761687003779255534e+01,-1.276756439953053227e-02,4.951184181863383742e+02,3.787583134264893570e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
1.800000000000000000e+01,5.606199254267139764e+01,1.342206890440614941e+01,-1.904792614399888808e-03,6.875083865916751336e+01,3.253138493481464444e-01,0.000000000000000000e+00,1.889886069173111949e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.032322910209387885e+02,2.521653068996517177e+01,-1.253610883790976134e-02,4.860337067030837943e+02,4.388086429069337768e-02,0.000000000000000000e+00,4.862248849390420702e+01,1.000000000000000000e+00
2.300000000000000000e+01,4.285872523374431609e+01,2.694392779342274125e+01,-4.359589624172088666e-03,1.651024770798325392e+02,1.329422341240734662e-01,0.000000000000000000e+00,1.889886069173111949e+01,1.000000000000000000e+00
3.200000000000000000e+01,3.802678456314446720e+01,5.922707959502942821e+00,-2.266516638288579299e-02,8.836027465179912497e+02,3.172556400116710584e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
5.300000000000000000e+01,2.964979587556141993e+01,2.212750486244531345e+01,-1.237114628245426784e-02,4.795588688924937060e+02,4.879150313214375423e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
7.000000000000000000e+01,2.714141713813947021e+01,2.741565023120836031e+01,-3.763886958463608969e-03,1.417209397779372466e+02,2.510757804676091443e-01,0.000000000000000000e+00,1.109115205157877959e+01,1.000000000000000000e+00
7.500000000000000000e+01,1.971060310475225563e+01,1.918177771382895713e+01,-2.035799376800781577e-03,7.389289975475445260e+01,3.358466038134607645e-01,0.000000000000000000e+00,1.109115205157877959e+01,1.000000000000000000e+00
7.800000000000000000e+01,1.069465632060749130e+02,2.134209296882795925e+01,-3.507709407251097342e-03,1.316658815846694210e+02,1.453210155315926011e-01,0.000000000000000000e+00,3.630117138468933291e+01,1.000000000000000000e+00
7.900000000000000000e+01,7.066802026230359957e+01,2.006054477327377583e+01,1.275822628656855980e-03,-4.406354744832018611e+01,4.633115269998482333e-01,0.000000000000000000e+00,3.630117138468933291e+01,1.000000000000000000e+00
1.420000000000000000e+02,1.045170206979470322e+02,2.116613717795067728e+01,-8.490998216936556861e-03,3.272617046303868733e+02,5.563039684865844769e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
2.080000000000000000e+02,9.019093305260798843e+01,2.694566643919161919e+01,-4.906233589766519076e-02,1.919700852508860635e+03,3.737258913497254476e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
2.260000000000000000e+02,4.719083970300570030e+01,1.667906383469784615e+01,-4.022023695006045341e-03,1.518528966784124350e+02,1.497373285609547855e-01,0.000000000000000000e+00,4.232262909312718335e+01,1.000000000000000000e+00
2.260000000000000000e+02,5.496299612718732241e+00,2.394337798084185565e+01,-4.034395103471441132e-03,1.523384787735783163e+02,1.420320258982390449e-01,0.000000000000000000e+00,4.232262909312718335e+01,1.000000000000000000e+00
2.270000000000000000e+02,8.902587164460035751e+01,2.631889346411619712e+01,-2.360342821318361928e-03,8.663134309384622611e+01,3.552380502854706190e-01,0.000000000000000000e+00,4.293129642624896292e+01,1.000000000000000000e+00
2.510000000000000000e+02,6.341473332028418497e+01,1.645070193524268376e+01,1.401676310862166007e-03,-4.900334834977255838e+01,4.594006097871108363e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
2.970000000000000000e+02,1.163434619495944560e+02,8.316772553579392380e+00,-2.699748524593691829e-02,1.053647772218289447e+03,2.699406045490393424e-02,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
3.440000000000000000e+02,2.707979116593815760e+01,2.454219158219716945e+01,-1.985154216006158098e-03,7.190505953773674719e+01,3.654314000091722914e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
3.530000000000000000e+02,4.102942498861324339e+01,1.334671519417002905e+01,-3.602151435363631481e-03,1.353727641123035710e+02,1.583389891933801863e-01,0.000000000000000000e+00,1.385407779613700363e+01,1.000000000000000000e+00
3.580000000000000000e+02,5.387438950529919168e+01,1.853731806344207911e+01,-1.819345466034346520e-03,6.539700829738225707e+01,3.562116086510154211e-01,0.000000000000000000e+00,1.385407779613700363e+01,1.000000000000000000e+00
3.670000000000000000e+02,1.586182457462954254e+01,2.214738775994321074e+01,-4.173894956357874012e-03,1.578138966315692926e+02,1.440258699683479859e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
3.860000000000000000e+02,1.040873546170169703e+02,1.915295721443892774e+01,-1.788443584992030965e-03,6.418409869351081909e+01,4.639043132052358409e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
4.070000000000000000e+02,7.435918008414304836e+01,2.278160825236785669e+01,-1.465820210506314477e-03,5.152101877254121831e+01,4.577962081076887291e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
4.330000000000000000e+02,6.761111157330519461e+01,2.276951115592821395e+01,1.450112440144003638e-03,-5.090448330980466807e+01,4.411909404032579030e-01,0.000000000000000000e+00,4.694969005372978899e+01,1.000000000000000000e+00
4.370000000000000000e+02,1.144921432255276130e+02,2.023134895374065678e+01,1.540811131191372006e-03,-5.446443855263535738e+01,4.475414929097183414e-01,0.000000000000000000e+00,4.694969005372978899e+01,1.000000000000000000e+00
4.490000000000000000e+02,1.076884837436322044e+02,2.679929999467780988e+01,-2.678180566443955166e-03,9.910658539407312162e+01,2.347231098845439234e-01,0.000000000000000000e+00,1.797693134862315708e+308,1.000000000000000000e+00
